### Vocabularium 1
schola f. (2.F. scholae);die Schule
hic (Adv.);hier
sedet (sedi, sessum);er/sie/es sitzt
amica f. (2.F. amicae);die Freundin
meus/a/um;mein
est;er/sie/es ist
discipula f. (2.F. discipulae);die Schülerin
bonus/a/um;gut
semper (Adv.);immer
sunt (fui, ---);sie sind
et;und
amicus m. (2.F. amici);der Freund
sed;1) aber, 2) sondern
discipulus m. (2.F. discipuli);der Schüler
malus/a/um;schlecht
laetus/a/um;froh, fröhlich
saepe (Adv.);oft
ridet (risi, risum);er/sie/es lacht
cur?;warum?
nunc;jetzt, nun
non;nicht
pensum n. (2.F. pensi);die Aufgabe
magnus/a/um;groß
itaque;deshalb, daher
gaudet (gavisus sum);er/sie/es freut sich
diu (Adv.);lange
laborat (laboravi, laboratum);er/sie/es arbeitet
libenter (Adv.);gern
interrogat (interrogavi, -atum);er/sie/es fragt
respondet (respondi, responsum);er/sie/es antwortet
tum (tunc);dann, damals
clamat (clamavi, clamatum);er/sie/es ruft, schreit
laudat (laudavi, laudatum);er/sie/es lobt

### Vocabularium 2
quid?;was?
docet (docui, doctum);er/sie/es lehrt, unterrichtet
ubi?;wo?
iam;schon
exspectat (exspectavi, -atum);er/sie/es erwartet
intrat (intravi, intratum);er/sie/es tritt ein, betritt
salve!/salvete!;sei/seid gegrüßt!
magister m. (2.F. magistri);der Lehrer
amat (amavi, amatum);er/sie/es liebt
non solum - sed etiam;nicht nur - sondern auch
etiam;auch, sogar
lingua f. (2.F. linguae);1) die Zunge, 2) die Sprache
Latinus/a/um (Adjektiv!);lateinisch
Graecus/a/um (Adjektiv!);griechisch
liber m. (2.F. libri);das Buch
pulcher/chra/chrum;schön, hübsch
verbum n. (2.F. verbi);das Wort
secum;sich, bei sich
cogitat (cogitavi, cogitatum);er/sie/es denkt
puer m. (2.F. pueri);der Bub
puella f. (2.F. puellae);das Mädchen
quod;weil
quis?;wer?
habet (habui, habitum);er/sie/es hat
spectat (spectavi, -atum);er/sie/es schaut an, betrachtet
oculus m. (2.F. oculi);das Auge
tuus/a/um;dein
monet (monui, monitum);er/sie/es (er)mahnt
iratus/a/um;zornig, erzürnt

### Vocabularium 3
Roma f. (2.F. Romae);Rom
per (Präp. + Akk.);durch
via f. (2.F. viae);der Weg, die Straße
ambulo, -as (ambulavi, -atum);gehen, spazieren
multi/ae/a (Plural);viele
aedificium n. (2.F. aedificii);das Gebäude
video, -es (vidi, visum);sehen
-que;und
clarus/a/um;1) berühmt, 2) hell
monstro, -as (monstravi, -atum);zeigen
spectaculum n. (2.F. spectaculi);das Schauspiel
ibi;dort
statua f. (2.F. statuae);die Statue
vir m. (2.F. viri);der Mann
certe (Adverb);sicherlich
forum n. (2.F. fori);das Forum, der Marktplatz
Romanus/a/um;römisch
templum n. (2.F. templi);der Tempel
deus m. (2.F. dei);der Gott
dea f. (2.F. deae);die Göttin
ante (Präp. + Akk.);vor
post (Präp. + Akk.);nach, hinter
solum (Adverb);nur
ad (Präp. + Akk.);zu, an, bei

### Vocabularium 4
de (Präp. + Abl.);1) von (... herab), 2) über
cum (Präp. + Abl.);mit
sine (Präp. + Abl.);ohne
femina f. (2.F. feminae);die Frau
gaudium n. (2.F. gaudii);die Freude
narro, -as (narravi, narratum);erzählen
Romani (Pl.) (Romanorum m.);die Römer
copia f. (2.F. copiae);die Menge, der Vorrat
e / ex (Präp. + Abl.);aus, von
terra f. (2.F. terrae);das Land, die Erde
alienus/a/um;fremd
pugno, -as (pugnavi, -atum);kämpfen
neco, -as (necavi, -atum);töten
placeo, -es (placui, -itum);gefallen
novus/a/um;neu
alius/a/ud;ein anderer
gladius m. (2.F. gladii);das Schwert
postremo (Adverb);schließlich, endlich
